number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7165190203230849,2026-04-12 23:12:55.786461,2026-04-12 23:12:55.838367,0 days 00:00:00.051906,0.49359671220172163,0.05808361216819946,0.17254716573280354,4,20,1152,1.7323522915498704,3.20501755284444,0.5780093202212182,COMPLETE
1,0.714304325169359,2026-04-12 23:12:55.838367,2026-04-12 23:12:55.885536,0 days 00:00:00.047169,0.5090949803242604,0.18340450985343382,0.010636066512540286,6,26,1461,0.6084844859190754,2.86140394234507,0.6061695553391381,COMPLETE
2,0.7258989056800417,2026-04-12 23:12:55.885536,2026-04-12 23:12:55.946146,0 days 00:00:00.060610,0.619817105976215,0.45606998421703593,0.023927528765580644,5,8,996,1.5703519227860272,1.3985320197126188,0.6460723242676091,COMPLETE
3,0.7183428869202709,2026-04-12 23:12:55.946146,2026-04-12 23:12:56.003631,0 days 00:00:00.057485,0.43903095579116774,0.9488855372533332,0.05898602410432694,5,20,260,1.9312640661491187,4.137788066524076,0.5852620618436457,COMPLETE
4,0.7128712871287128,2026-04-12 23:12:56.003631,2026-04-12 23:12:56.040993,0 days 00:00:00.037362,0.6971061460667621,0.034388521115218396,0.013399060561509796,4,16,1090,1.8186408041575641,1.6645099172000761,0.5610191174223894,COMPLETE
5,0.7273319437206878,2026-04-12 23:12:56.040993,2026-04-12 23:12:56.084354,0 days 00:00:00.043361,0.9817507766587351,0.7751328233611146,0.02544166090938368,6,19,876,1.8789978831283782,4.526723076924419,0.5924272277627636,COMPLETE
6,0.7173006774361647,2026-04-12 23:12:56.084354,2026-04-12 23:12:56.168852,0 days 00:00:00.084498,0.5951981984579586,0.388677289689482,0.15826541904647565,5,10,315,0.5426980635477918,4.229318791183682,0.522613644455269,COMPLETE
7,0.7209484106305367,2026-04-12 23:12:56.168852,2026-04-12 23:12:56.231086,0 days 00:00:00.062234,0.44473038620786254,0.9868869366005173,0.023200867504756827,4,8,906,1.5444895385933148,1.3942205669037757,0.9010984903770198,COMPLETE
8,0.721990620114643,2026-04-12 23:12:56.231086,2026-04-12 23:12:56.266042,0 days 00:00:00.034956,0.44442679104045424,0.3584657285442726,0.11506408247250169,3,23,1119,0.23173811905025943,4.383965416440171,0.8856351733429728,COMPLETE
9,0.7165190203230849,2026-04-12 23:12:56.266042,2026-04-12 23:12:56.337220,0 days 00:00:00.071178,0.8377637070028385,0.6375574713552131,0.026946865572417687,6,13,282,1.774425485152653,2.6249671632287717,0.6625916610133735,COMPLETE
10,0.7173006774361647,2026-04-12 23:12:56.337220,2026-04-12 23:12:56.398071,0 days 00:00:00.060851,0.9445988771695107,0.7303668952070095,0.05649059146589217,7,29,620,1.2125780566031357,4.864532042751733,0.7640858921203038,COMPLETE
11,0.7217300677436165,2026-04-12 23:12:56.398071,2026-04-12 23:12:56.500346,0 days 00:00:00.102275,0.6891377977979979,0.6195339431335991,0.026602329128484096,6,5,729,1.3517145701401752,0.6117653840169136,0.7171781358782057,COMPLETE
