number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7144346013548724,2026-04-12 23:13:04.005433,2026-04-12 23:13:04.091240,0 days 00:00:00.085807,0.49359671220172163,0.05808361216819946,0.17254716573280354,4,20,1152,1.7323522915498704,3.20501755284444,0.5780093202212182,COMPLETE
1,0.7113079729025534,2026-04-12 23:13:04.091240,2026-04-12 23:13:04.217576,0 days 00:00:00.126336,0.5090949803242604,0.18340450985343382,0.010636066512540286,6,26,1461,0.6084844859190754,2.86140394234507,0.6061695553391381,COMPLETE
2,0.7127410109431995,2026-04-12 23:13:04.217576,2026-04-12 23:13:04.303097,0 days 00:00:00.085521,0.619817105976215,0.45606998421703593,0.023927528765580644,5,8,996,1.5703519227860272,1.3985320197126188,0.6460723242676091,COMPLETE
3,0.7206878582595102,2026-04-12 23:13:04.303097,2026-04-12 23:13:04.410763,0 days 00:00:00.107666,0.43903095579116774,0.9488855372533332,0.05898602410432694,5,20,260,1.9312640661491187,4.137788066524076,0.5852620618436457,COMPLETE
4,0.7154768108389786,2026-04-12 23:13:04.410763,2026-04-12 23:13:04.588608,0 days 00:00:00.177845,0.6971061460667621,0.034388521115218396,0.013399060561509796,4,16,1090,1.8186408041575641,1.6645099172000761,0.5610191174223894,COMPLETE
5,0.72107868681605,2026-04-12 23:13:04.588608,2026-04-12 23:13:04.657514,0 days 00:00:00.068906,0.9817507766587351,0.7751328233611146,0.02544166090938368,6,19,876,1.8789978831283782,4.526723076924419,0.5924272277627636,COMPLETE
6,0.7113079729025534,2026-04-12 23:13:04.657514,2026-04-12 23:13:04.750554,0 days 00:00:00.093040,0.5951981984579586,0.388677289689482,0.15826541904647565,5,10,315,0.5426980635477918,4.229318791183682,0.522613644455269,COMPLETE
7,0.7315007816571131,2026-04-12 23:13:04.750554,2026-04-12 23:13:04.803278,0 days 00:00:00.052724,0.44473038620786254,0.9868869366005173,0.023200867504756827,4,8,906,1.5444895385933148,1.3942205669037757,0.9010984903770198,COMPLETE
8,0.7213392391870767,2026-04-12 23:13:04.803278,2026-04-12 23:13:04.850052,0 days 00:00:00.046774,0.44442679104045424,0.3584657285442726,0.11506408247250169,3,23,1119,0.23173811905025943,4.383965416440171,0.8856351733429728,COMPLETE
9,0.7199062011464304,2026-04-12 23:13:04.850052,2026-04-12 23:13:04.939958,0 days 00:00:00.089906,0.8377637070028385,0.6375574713552131,0.026946865572417687,6,13,282,1.774425485152653,2.6249671632287717,0.6625916610133735,COMPLETE
10,0.7222511724856696,2026-04-12 23:13:04.939958,2026-04-12 23:13:05.062438,0 days 00:00:00.122480,0.8141482441414871,0.9730377607696247,0.06254517730997457,3,5,600,1.2481670543447305,0.6790982273465664,0.9905354130446519,COMPLETE
11,0.7240750390828556,2026-04-12 23:13:05.062438,2026-04-12 23:13:05.166904,0 days 00:00:00.104466,0.8216195396547992,0.9671936931471076,0.056309763043883326,3,5,568,1.2324234789258077,0.5210310681624828,0.9953660083496408,COMPLETE
12,0.7436164669098488,2026-04-12 23:13:05.166904,2026-04-12 23:13:05.578891,0 days 00:00:00.411987,0.8306475890619939,0.7719240123800709,0.04042271085612354,4,5,617,1.167235531675332,0.5139823978164786,0.8810709338789752,COMPLETE
13,0.7288952579468474,2026-04-12 23:13:05.578891,2026-04-12 23:13:05.686789,0 days 00:00:00.107898,0.9324793616026946,0.7862229754929508,0.03715921926048921,4,11,648,0.9941707872217049,1.507881766571083,0.8472969407869071,COMPLETE
14,0.7139134966128191,2026-04-12 23:13:05.686789,2026-04-12 23:13:05.763491,0 days 00:00:00.076702,0.7186744182108762,0.7862752482400651,0.01775503441347021,7,30,768,1.3783116459697247,2.0369988817401294,0.8155421717694825,COMPLETE
15,0.7287649817613341,2026-04-12 23:13:05.763491,2026-04-12 23:13:05.842709,0 days 00:00:00.079218,0.7310065091923332,0.637329597691138,0.03519567525394583,4,14,472,0.9716116570296831,0.9699492836181496,0.9139713392887441,COMPLETE
16,0.7183428869202708,2026-04-12 23:13:05.842709,2026-04-12 23:13:05.909169,0 days 00:00:00.066460,0.9007185498039273,0.6571453043275615,0.01870099773745113,4,8,1361,0.7775383895727724,2.165748243379757,0.7408281850813538,COMPLETE
17,0.7352787910369984,2026-04-12 23:13:05.909169,2026-04-12 23:13:06.041760,0 days 00:00:00.132591,0.605183218561211,0.8636916066578187,0.1049228441557794,5,8,794,1.490270926063582,1.0914975831174138,0.763464710575368,COMPLETE
18,0.7391870766023971,2026-04-12 23:13:06.041760,2026-04-12 23:13:06.155460,0 days 00:00:00.113700,0.60946238039758,0.8698268015939536,0.08919905089883388,7,5,438,1.1967812159609648,0.988404695310548,0.7813402103258921,COMPLETE
19,0.7118290776446066,2026-04-12 23:13:06.156465,2026-04-12 23:13:06.279132,0 days 00:00:00.122667,0.6617393323825995,0.5462945847521951,0.0840780908455843,7,5,405,1.1503506961880738,2.045804626351467,0.7340783846050789,COMPLETE
20,0.7368421052631579,2026-04-12 23:13:06.279132,2026-04-12 23:13:06.389104,0 days 00:00:00.109972,0.7839055431886184,0.8660805592047918,0.07693826946967398,7,12,471,0.023241923255106545,3.7252358438041315,0.791067439594587,COMPLETE
21,0.7266805627931214,2026-04-12 23:13:06.390104,2026-04-12 23:13:06.536549,0 days 00:00:00.146445,0.7887876628593475,0.8245396913917347,0.0777499441054974,7,11,464,0.034716807011537676,3.68008766177817,0.801456533546729,COMPLETE
22,0.710265763418447,2026-04-12 23:13:06.536549,2026-04-12 23:13:06.705490,0 days 00:00:00.168941,0.7525098488131786,0.7006224446697494,0.044244811191206615,7,14,685,0.7253650900684389,4.866709122058121,0.707289201615861,COMPLETE
23,0.7290255341323606,2026-04-12 23:13:06.705490,2026-04-12 23:13:06.828775,0 days 00:00:00.123285,0.873451420799897,0.8723380728617978,0.09375261199302208,6,7,406,0.35758389161108206,3.6794347099198617,0.8494124386626177,COMPLETE
24,0.7321521625846795,2026-04-12 23:13:06.828775,2026-04-12 23:13:06.939134,0 days 00:00:00.110359,0.5461320724382541,0.8869672944216999,0.12900246895334677,7,10,535,0.915502100267189,0.8149295408344313,0.7907674885162974,COMPLETE
25,0.7331943720687858,2026-04-12 23:13:06.939134,2026-04-12 23:13:07.091691,0 days 00:00:00.152557,0.6868162482977465,0.7255206467215013,0.07106172744223825,7,12,725,1.292263288488987,3.5902959362090145,0.9415210002285404,COMPLETE
26,0.7120896300156332,2026-04-12 23:13:07.091691,2026-04-12 23:13:07.282020,0 days 00:00:00.190329,0.7791743765600193,0.5421287003864963,0.047130766072207765,6,16,370,1.16275330246036,2.5065367070392988,0.8555356212296116,COMPLETE
27,0.7285044293903075,2026-04-12 23:13:07.282020,2026-04-12 23:13:07.474768,0 days 00:00:00.192748,0.8608048538861441,0.9044822348249968,0.046365298202999936,6,6,211,0.03710926541565693,3.196194727980509,0.6976983311785017,COMPLETE
28,0.7311099531005731,2026-04-12 23:13:07.474768,2026-04-12 23:13:07.621940,0 days 00:00:00.147172,0.6545075331956917,0.7172822256387041,0.03553118813372233,5,9,518,0.8004955724585505,1.142558379588835,0.7670227206307305,COMPLETE
29,0.7313705054715999,2026-04-12 23:13:07.621940,2026-04-12 23:13:07.703217,0 days 00:00:00.081277,0.5436648057779813,0.5824986833101181,0.18505995430619274,7,17,615,1.0745451062786393,3.201085241381237,0.9510841294165414,COMPLETE
30,0.7253778009379885,2026-04-12 23:13:07.703217,2026-04-12 23:13:07.791232,0 days 00:00:00.088015,0.9825111220781328,0.12310934175206761,0.1377279229926074,3,6,373,0.4173587384466779,1.7554848514931454,0.823312651345567,COMPLETE
31,0.7290255341323605,2026-04-12 23:13:07.791232,2026-04-12 23:13:07.908538,0 days 00:00:00.117306,0.6179255880204308,0.8403317224909108,0.11109316395203374,5,7,779,1.4231757149321043,1.1698615507288341,0.7735053519417507,COMPLETE
32,0.7165190203230849,2026-04-12 23:13:07.908538,2026-04-12 23:13:08.009246,0 days 00:00:00.100708,0.5741052244525989,0.9052388597615453,0.10066682960939857,5,9,963,1.6043625577628258,0.5029783681096346,0.6927770087348999,COMPLETE
33,0.7253778009379885,2026-04-12 23:13:08.009246,2026-04-12 23:13:08.135030,0 days 00:00:00.125784,0.5151315947928399,0.8243144317703892,0.0735511075273832,6,7,809,1.4464636053094073,1.0363361301003002,0.7459077695084413,COMPLETE
34,0.7247264200104221,2026-04-12 23:13:08.135030,2026-04-12 23:13:08.196233,0 days 00:00:00.061203,0.6288629512670727,0.9229601578630324,0.08891571862695653,4,5,693,1.5725163494748609,2.902124539136164,0.8742075857548713,COMPLETE
35,0.7397081813444502,2026-04-12 23:13:08.196233,2026-04-12 23:13:08.320219,0 days 00:00:00.123986,0.7590861652783398,0.7549230376569852,0.15368339867474876,5,9,482,1.6707494526867117,0.8158699044460247,0.635712612224783,COMPLETE
36,0.7311099531005731,2026-04-12 23:13:08.320219,2026-04-12 23:13:08.447942,0 days 00:00:00.127723,0.768944128689538,0.7259341119482895,0.15811920586275757,6,12,474,1.6575862542719721,0.7700524248468555,0.6248453227640398,COMPLETE
37,0.7178217821782178,2026-04-12 23:13:08.447942,2026-04-12 23:13:08.555487,0 days 00:00:00.107545,0.9113460150797561,0.454485138889906,0.05547259982421787,4,10,343,1.9637081262927627,3.891390032036758,0.5500649587324813,COMPLETE
38,0.7251172485669619,2026-04-12 23:13:08.555487,2026-04-12 23:13:08.638989,0 days 00:00:00.083502,0.7391249691467378,0.27479652194211057,0.19152588260697684,5,23,533,0.6057209614565173,1.3571593228465102,0.7196789462806804,COMPLETE
39,0.7076602397081814,2026-04-12 23:13:08.638989,2026-04-12 23:13:08.733963,0 days 00:00:00.094974,0.6919607757111617,0.7645555525679677,0.13655623443493492,6,14,208,1.6884689277649998,1.727711944778619,0.6477975864013995,COMPLETE
40,0.7300677436164669,2026-04-12 23:13:08.733963,2026-04-12 23:13:08.891400,0 days 00:00:00.157437,0.8008170251084373,0.6826654314389783,0.06589788790141377,7,20,431,0.8885400935051867,2.35703772292924,0.6703502549123403,COMPLETE
41,0.7363210005211047,2026-04-12 23:13:08.891400,2026-04-12 23:13:09.034687,0 days 00:00:00.143287,0.5930300496469251,0.8075551418759656,0.10439879696317857,5,8,642,1.4997683761093055,0.8589600485838327,0.7775352543850991,COMPLETE
42,0.7165190203230849,2026-04-12 23:13:09.034687,2026-04-12 23:13:09.104800,0 days 00:00:00.070113,0.6627896774793737,0.7645367227424601,0.15729954260711254,4,9,639,1.3478315017364744,0.9186423193122808,0.8340325902716912,COMPLETE
43,0.7391870766023971,2026-04-12 23:13:09.104800,2026-04-12 23:13:09.212458,0 days 00:00:00.107658,0.8516538191671894,0.9943019267014166,0.12423149390296814,5,7,567,1.8060799014344766,0.6629216599506704,0.7855527739331861,COMPLETE
44,0.7277227722772278,2026-04-12 23:13:09.213457,2026-04-12 23:13:09.326885,0 days 00:00:00.113428,0.8473167129158897,0.9971132521418732,0.12796410346972564,3,6,566,1.77480341672347,0.6538911649866366,0.8004792388244336,COMPLETE
45,0.7213392391870767,2026-04-12 23:13:09.326885,2026-04-12 23:13:09.489600,0 days 00:00:00.162715,0.9565645969929835,0.9436564064879058,0.1203938530918665,6,7,271,1.8846963088869173,1.3478189976156238,0.5017121827968731,COMPLETE
46,0.728764981761334,2026-04-12 23:13:09.489600,2026-04-12 23:13:09.600771,0 days 00:00:00.111171,0.8788734626256881,0.9310005769444917,0.1529509750985706,4,11,302,1.846494074229677,0.5051991713540527,0.619836869290574,COMPLETE
47,0.7245961438249088,2026-04-12 23:13:09.600771,2026-04-12 23:13:09.923317,0 days 00:00:00.322546,0.8253504624676613,0.6090325462688821,0.029349207084068272,6,5,1228,1.1060741824707656,1.5794835273588868,0.9123556665284945,COMPLETE
48,0.7309796769150599,2026-04-12 23:13:09.923317,2026-04-12 23:13:10.000203,0 days 00:00:00.076886,0.7695262136324089,0.9607837894469112,0.05150438631713141,3,9,493,1.9796407646936232,2.966038447145574,0.8715606019390122,COMPLETE
49,0.7173006774361647,2026-04-12 23:13:10.000203,2026-04-12 23:13:10.096261,0 days 00:00:00.096058,0.8089788858962106,0.9954353025864473,0.04099779951050496,5,6,575,0.15874468805490677,1.2792332067509031,0.8153369716251926,COMPLETE
50,0.7279833246482543,2026-04-12 23:13:10.096261,2026-04-12 23:13:10.188847,0 days 00:00:00.092586,0.7066464624230478,0.8692127132914481,0.06402911019757573,7,13,888,1.2382220556765116,0.6223862543786876,0.6812993220474309,COMPLETE
51,0.726029181865555,2026-04-12 23:13:10.188847,2026-04-12 23:13:10.270028,0 days 00:00:00.081181,0.4936878712015633,0.8295915615534206,0.09819899891741593,5,8,663,1.7232404796047698,0.8802796017111205,0.7862377024055701,COMPLETE
52,0.7352787910369983,2026-04-12 23:13:10.270028,2026-04-12 23:13:10.416020,0 days 00:00:00.145992,0.5734774093694207,0.8079290027606169,0.10921443571530363,5,8,721,1.5239796463868354,0.7685604331295267,0.7302757149869745,COMPLETE
53,0.7344971339239186,2026-04-12 23:13:10.416020,2026-04-12 23:13:10.569873,0 days 00:00:00.153853,0.7508951866327405,0.7606850866941325,0.08529589534400916,5,7,602,1.622357160064054,1.0344870016711982,0.7732841365410709,COMPLETE
54,0.7205575820739969,2026-04-12 23:13:10.569873,2026-04-12 23:13:10.634950,0 days 00:00:00.065077,0.46475795102045536,0.8587593273193983,0.03036621074084833,5,10,420,1.3359344245094142,4.547091219637903,0.7514726351360366,COMPLETE
55,0.732412714955706,2026-04-12 23:13:10.634950,2026-04-12 23:13:10.803288,0 days 00:00:00.168338,0.8431914167047239,0.7933468934453012,0.07909231766025299,5,5,545,1.7819021643940256,0.7390835827323587,0.7157536952397249,COMPLETE
56,0.7126107347576863,2026-04-12 23:13:10.803288,2026-04-12 23:13:10.868575,0 days 00:00:00.065287,0.7182266910917555,0.6648730533457377,0.14090474172744014,4,6,447,1.4863103769618153,1.2107224580380502,0.5716674264921922,COMPLETE
57,0.7274622199062011,2026-04-12 23:13:10.868575,2026-04-12 23:13:10.946464,0 days 00:00:00.077889,0.4084705081872306,0.8959259265999977,0.17519732366266932,5,11,335,1.015867444491017,1.456008471242943,0.8039582961853696,COMPLETE
58,0.7222511724856697,2026-04-12 23:13:10.946464,2026-04-12 23:13:11.044966,0 days 00:00:00.098502,0.88440818753526,0.9427829679225107,0.11521056219460334,4,8,490,1.189202091465632,1.8727945989584722,0.8345651511832943,COMPLETE
59,0.7068785825951016,2026-04-12 23:13:11.044966,2026-04-12 23:13:11.126590,0 days 00:00:00.081624,0.7928274370239695,0.7510941725508083,0.010372866144614884,5,30,830,1.3937375528972007,0.9631590850805405,0.8973269224915104,COMPLETE
60,0.7040125065138093,2026-04-12 23:13:11.126590,2026-04-12 23:13:11.205817,0 days 00:00:00.079227,0.8236875289250194,0.8099784412536248,0.022650596423777793,6,22,1458,1.898375320503676,3.469302193196701,0.7540493806808556,COMPLETE
61,0.7274622199062011,2026-04-12 23:13:11.205817,2026-04-12 23:13:11.316415,0 days 00:00:00.110598,0.5943675889212866,0.8762200293483791,0.10640443290267682,5,8,754,1.493822238506323,1.0919411786147777,0.7763481669576141,COMPLETE
62,0.7337154768108389,2026-04-12 23:13:11.316926,2026-04-12 23:13:11.491544,0 days 00:00:00.174618,0.6348554596160046,0.8534370972514234,0.09409526836018263,5,9,1055,1.306653530163703,0.6401823375964217,0.7596990231089255,COMPLETE
63,0.721990620114643,2026-04-12 23:13:11.491544,2026-04-12 23:13:11.582839,0 days 00:00:00.091295,0.5438754837281178,0.9715259813071637,0.12004611877614338,5,7,620,1.571970178870374,0.9133517695480763,0.7943139113795878,COMPLETE
64,0.7303282959874935,2026-04-12 23:13:11.582839,2026-04-12 23:13:11.721911,0 days 00:00:00.139072,0.6118579511017835,0.9127390578390746,0.07162569564890292,7,10,924,1.6620907338628859,4.1615086966298325,0.8255742301710576,COMPLETE
65,0.7034914017717562,2026-04-12 23:13:11.721911,2026-04-12 23:13:11.824567,0 days 00:00:00.102656,0.674046928898042,0.7400548457899,0.19921514690863554,5,5,680,1.438891648889948,4.971032908971065,0.7335031952782615,COMPLETE
66,0.7253778009379885,2026-04-12 23:13:11.824567,2026-04-12 23:13:11.979251,0 days 00:00:00.154684,0.584997271888081,0.6968425278039817,0.14592755617761674,6,12,394,1.0854635678690043,3.9191112983550336,0.8657995438148411,COMPLETE
67,0.7524752475247525,2026-04-12 23:13:11.979251,2026-04-12 23:13:12.151818,0 days 00:00:00.172567,0.5188938672684965,0.7954094921386072,0.10205783129325137,4,6,578,1.2643147664239938,0.8205379603347638,0.9625939519061784,COMPLETE
68,0.7191245440333506,2026-04-12 23:13:12.151818,2026-04-12 23:13:12.220978,0 days 00:00:00.069160,0.5215587175165165,0.7864681072415545,0.013668046497469907,4,6,515,1.2525485224626067,0.5952744694957006,0.9803176678953883,COMPLETE
69,0.7275924960917144,2026-04-12 23:13:12.220978,2026-04-12 23:13:12.288322,0 days 00:00:00.067344,0.4626897044827917,0.6419052438145856,0.07951649469443801,4,7,583,1.1592078785481734,0.8194988049953746,0.8892756790077752,COMPLETE
70,0.7264200104220948,2026-04-12 23:13:12.288322,2026-04-12 23:13:12.388215,0 days 00:00:00.099893,0.6435044963540869,0.2867466308121656,0.16923536352312557,4,15,454,0.8577494283271739,1.1902355829137592,0.965848407322931,COMPLETE
71,0.7167795726941115,2026-04-12 23:13:12.389222,2026-04-12 23:13:12.490559,0 days 00:00:00.101337,0.5529790281304159,0.8291572909063365,0.1037100159861625,5,28,723,1.0209155545033144,1.027745013857812,0.8470933770026,COMPLETE
72,0.7222511724856696,2026-04-12 23:13:12.490559,2026-04-12 23:13:12.580485,0 days 00:00:00.089926,0.8602220570628051,0.8484270494324098,0.09055341228601688,4,5,626,1.7176761668135136,0.7224848423990962,0.944255098689049,COMPLETE
73,0.7277227722772277,2026-04-12 23:13:12.580485,2026-04-12 23:13:12.696460,0 days 00:00:00.115975,0.6076457652527313,0.7965279097973461,0.1329563382667789,7,8,508,1.2971809718057319,0.8661956931310357,0.7770966768030381,COMPLETE
74,0.7221208963001563,2026-04-12 23:13:12.696460,2026-04-12 23:13:12.766729,0 days 00:00:00.070269,0.9100452719575808,0.8802081386901838,0.11860738834752575,3,6,553,0.4334625506197328,1.5536943145579711,0.9191425230147906,COMPLETE
75,0.7311099531005733,2026-04-12 23:13:12.766729,2026-04-12 23:13:12.868567,0 days 00:00:00.101838,0.560419838019684,0.7330769455024498,0.041463471064248525,5,9,757,1.3737952351918399,0.5650145731559644,0.8112226338581725,COMPLETE
76,0.717430953621678,2026-04-12 23:13:12.868567,2026-04-12 23:13:12.953209,0 days 00:00:00.084642,0.7593001021150614,0.47252472270249246,0.0983366331544883,4,6,854,0.9507224825824488,1.0817154575306316,0.7420408896762595,COMPLETE
77,0.7298071912454402,2026-04-12 23:13:12.953209,2026-04-12 23:13:13.048280,0 days 00:00:00.095071,0.5324916409887182,0.9056504594443973,0.12544872109059296,7,18,660,1.5305360636465597,2.673210943232685,0.7888300124155062,COMPLETE
78,0.7253778009379885,2026-04-12 23:13:13.048280,2026-04-12 23:13:13.124786,0 days 00:00:00.076506,0.4904324276840453,0.9353258768807162,0.059941157145015626,5,7,374,1.4689167193166883,1.2458364503104034,0.9247001386902709,COMPLETE
79,0.7193850964043773,2026-04-12 23:13:13.124786,2026-04-12 23:13:13.249235,0 days 00:00:00.124449,0.7801788644662285,0.6920456372899528,0.051311034786369975,6,11,798,1.6090066810863182,3.044466681579401,0.7022835021854913,COMPLETE
80,0.7252475247524753,2026-04-12 23:13:13.249235,2026-04-12 23:13:13.323285,0 days 00:00:00.074050,0.8287916346324433,0.06321863987627063,0.0843464402231752,3,5,603,1.2603993945325238,0.7125174061971802,0.721706141030769,COMPLETE
81,0.7360604481500782,2026-04-12 23:13:13.323285,2026-04-12 23:13:13.424560,0 days 00:00:00.101275,0.5813518691402599,0.8258225881130499,0.10912766687966934,5,8,713,1.5321431408114359,0.8274018956529564,0.7613272496573044,COMPLETE
82,0.7309796769150599,2026-04-12 23:13:13.424560,2026-04-12 23:13:13.507231,0 days 00:00:00.082671,0.5695196142713942,0.7719700894665004,0.10839868015399146,4,9,692,1.792394373763018,0.8355072891694172,0.7702590715365026,COMPLETE
83,0.732412714955706,2026-04-12 23:13:13.507231,2026-04-12 23:13:13.632283,0 days 00:00:00.125052,0.5967838985011752,0.819026518592808,0.06795181182900707,5,7,653,1.3917794973910331,0.9687443859358935,0.5933497970748068,COMPLETE
84,0.7170401250651381,2026-04-12 23:13:13.632283,2026-04-12 23:13:13.759656,0 days 00:00:00.127373,0.8090419415764417,0.849511535125154,0.14616062770861335,7,8,725,1.8371772639101616,0.6479168279190468,0.7611372652002879,COMPLETE
85,0.7308494007295466,2026-04-12 23:13:13.759656,2026-04-12 23:13:13.884954,0 days 00:00:00.125298,0.7428414827018047,0.8877603717495878,0.09192682403911853,6,10,471,1.6514141923418015,0.5493756354954238,0.7859587811379745,COMPLETE
86,0.7277227722772277,2026-04-12 23:13:13.886457,2026-04-12 23:13:14.013174,0 days 00:00:00.126717,0.7287697380951939,0.9672824820333208,0.0760435386303176,4,6,538,1.5774616517109599,1.3186088372902287,0.8273512624869876,COMPLETE
87,0.7352787910369983,2026-04-12 23:13:14.013174,2026-04-12 23:13:14.135286,0 days 00:00:00.122112,0.6442128985552309,0.711764074705653,0.17169749214804,5,7,421,1.2148905873009643,1.4273910282044104,0.8061280031096346,COMPLETE
88,0.7277227722772278,2026-04-12 23:13:14.135286,2026-04-12 23:13:14.231708,0 days 00:00:00.096422,0.49027822676677274,0.7770253661855004,0.12826016720830027,7,8,573,1.1156210892672145,1.1458590543769918,0.9978009327766907,COMPLETE
89,0.7308494007295467,2026-04-12 23:13:14.231708,2026-04-12 23:13:14.419311,0 days 00:00:00.187603,0.6774844960979552,0.5965121079011771,0.033375401884436405,5,9,627,1.7362455300351627,4.427930396874978,0.5460645938900385,COMPLETE
90,0.7222511724856696,2026-04-12 23:13:14.419311,2026-04-12 23:13:14.513090,0 days 00:00:00.093779,0.625072970752901,0.8045269969847707,0.09909143723988353,5,5,505,0.7192646974463079,0.7884007258710757,0.6531212410487452,COMPLETE
91,0.7325429911412195,2026-04-12 23:13:14.513090,2026-04-12 23:13:14.603008,0 days 00:00:00.089918,0.5076865044607999,0.8380685451447438,0.11225048752386901,5,8,715,1.5005308154826333,0.7517419273047156,0.7359565756735038,COMPLETE
