number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7548201973494075,2026-04-12 23:11:54.331469,2026-04-12 23:11:54.559236,0 days 00:00:00.227767,0.49359671220172163,0.05808361216819946,0.17254716573280354,5,18,1152,1.7323522915498704,3.20501755284444,0.6624074561769746,COMPLETE
1,0.7438895999339415,2026-04-12 23:11:54.559236,2026-04-12 23:11:54.716262,0 days 00:00:00.157026,0.5090949803242604,0.18340450985343382,0.010636066512540286,7,25,1461,0.6084844859190754,2.86140394234507,0.6849356442713105,COMPLETE
2,0.7392035836670657,2026-04-12 23:11:54.716262,2026-04-12 23:11:54.921933,0 days 00:00:00.205671,0.619817105976215,0.45606998421703593,0.023927528765580644,6,5,996,1.5703519227860272,1.3985320197126188,0.7168578594140873,COMPLETE
3,0.7508566946038562,2026-04-12 23:11:54.921933,2026-04-12 23:11:55.036192,0 days 00:00:00.114259,0.43903095579116774,0.9488855372533332,0.05898602410432694,6,19,260,1.9312640661491187,4.137788066524076,0.6682096494749166,COMPLETE
4,0.7426303620824904,2026-04-12 23:11:55.036192,2026-04-12 23:11:55.316684,0 days 00:00:00.280492,0.6971061460667621,0.034388521115218396,0.013399060561509796,5,14,1090,1.8186408041575641,1.6645099172000761,0.6488152939379115,COMPLETE
5,0.738264316089344,2026-04-12 23:11:55.316684,2026-04-12 23:11:55.666178,0 days 00:00:00.349494,0.9817507766587351,0.7751328233611146,0.02544166090938368,7,17,876,1.8789978831283782,4.526723076924419,0.6739417822102108,COMPLETE
6,0.7497213162132035,2026-04-12 23:11:55.666686,2026-04-12 23:11:55.881086,0 days 00:00:00.214400,0.5951981984579586,0.388677289689482,0.15826541904647565,7,6,315,0.5426980635477918,4.229318791183682,0.6180909155642152,COMPLETE
7,0.7431257999256844,2026-04-12 23:11:55.881086,2026-04-12 23:11:56.206684,0 days 00:00:00.325598,0.44473038620786254,0.9868869366005173,0.023200867504756827,5,5,906,1.5444895385933148,1.3942205669037757,0.9208787923016158,COMPLETE
8,0.7414020890962387,2026-04-12 23:11:56.206684,2026-04-12 23:11:56.376615,0 days 00:00:00.169931,0.44442679104045424,0.3584657285442726,0.11506408247250169,3,22,1119,0.23173811905025943,4.383965416440171,0.9085081386743783,COMPLETE
9,0.7386462160934726,2026-04-12 23:11:56.376615,2026-04-12 23:11:56.662547,0 days 00:00:00.285932,0.8377637070028385,0.6375574713552131,0.026946865572417687,7,10,282,1.774425485152653,2.6249671632287717,0.7300733288106989,COMPLETE
10,0.7425271458651583,2026-04-12 23:11:56.662547,2026-04-12 23:11:56.852559,0 days 00:00:00.190012,0.8141482441414871,0.015144237102756877,0.07767883809849516,9,28,600,1.2467530372589308,3.0674653919675747,0.8085360047450805,COMPLETE
11,0.7502890054085298,2026-04-12 23:11:56.852559,2026-04-12 23:11:57.172395,0 days 00:00:00.319836,0.4120319393864633,0.9443177934459189,0.06538592059754475,4,19,1331,1.1465819553024583,3.6841264588817824,0.8038214018237079,COMPLETE
12,0.7489884810701458,2026-04-12 23:11:57.172395,2026-04-12 23:11:57.403180,0 days 00:00:00.230785,0.5422487379944316,0.6276429452559498,0.17609712350509826,5,12,601,1.9887734156680594,3.5776837085177053,0.7461054284803088,COMPLETE
13,0.7443334296684695,2026-04-12 23:11:57.403180,2026-04-12 23:11:57.638835,0 days 00:00:00.235655,0.5253478365535988,0.24155493298033986,0.04693667834372346,9,21,595,1.421759058365811,4.990315256734624,0.6019682853419789,COMPLETE
14,0.7458197431980513,2026-04-12 23:11:57.638835,2026-04-12 23:11:57.905189,0 days 00:00:00.266354,0.6768000283970789,0.8005766687443253,0.09944277342213406,3,30,1251,0.934940121901884,2.1353293956865027,0.9917057207319718,COMPLETE
15,0.7434457701994138,2026-04-12 23:11:57.905189,2026-04-12 23:11:58.284579,0 days 00:00:00.379390,0.7924802465660169,0.6043508599825796,0.05304030629568791,6,16,713,1.6528695987194602,3.630742801432576,0.7668154621943694,COMPLETE
16,0.7549027703232731,2026-04-12 23:11:58.286581,2026-04-12 23:11:58.560297,0 days 00:00:00.273716,0.48096196160238625,0.18231676374429628,0.11939222741201695,4,24,201,1.3968609666977305,0.5593064647141559,0.8517314664119261,COMPLETE
17,0.7569567730481813,2026-04-12 23:11:58.560297,2026-04-12 23:11:58.768547,0 days 00:00:00.208250,0.5964943525856927,0.16405553597722994,0.19499139484296538,4,25,439,0.983254784204969,0.6434172658669481,0.8587932824724064,COMPLETE
18,0.7426200404607572,2026-04-12 23:11:58.770049,2026-04-12 23:11:58.939963,0 days 00:00:00.169914,0.60946238039758,0.23629297531743532,0.11097129730448618,4,24,438,0.8412869121811923,0.6125060398373168,0.864612151388235,COMPLETE
19,0.7447256512943313,2026-04-12 23:11:58.939963,2026-04-12 23:11:59.208662,0 days 00:00:00.268699,0.7600781678108574,0.15253373094189282,0.13152267416338606,4,27,431,1.2855309089718228,0.695106931655114,0.8497202798613952,COMPLETE
20,0.7584121217125634,2026-04-12 23:11:59.209662,2026-04-12 23:11:59.419961,0 days 00:00:00.210299,0.9031522400235494,0.3194546623490381,0.19594453373260662,3,24,445,0.7249877991560855,1.0268705892883652,0.9661514859415337,COMPLETE
21,0.7429916188431527,2026-04-12 23:11:59.419961,2026-04-12 23:11:59.682822,0 days 00:00:00.262861,0.910370279584781,0.29960046976576676,0.19205292441719599,3,23,437,0.7179811484902092,0.9749787059049371,0.9893716564113967,COMPLETE
22,0.7476776351100285,2026-04-12 23:11:59.682822,2026-04-12 23:12:00.009069,0 days 00:00:00.326247,0.991004822184446,0.08717569904429084,0.08623372711642652,4,26,732,0.3463958761392476,1.0493440555867535,0.9184166357723417,COMPLETE
23,0.7380888485198794,2026-04-12 23:12:00.009069,2026-04-12 23:12:00.148286,0 days 00:00:00.139217,0.8995341916700592,0.13750798812903875,0.14064906620620882,3,30,233,1.0505051337069253,2.242388251269821,0.9520104938890753,COMPLETE
24,0.7623756244581148,2026-04-12 23:12:00.148286,2026-04-12 23:12:00.448506,0 days 00:00:00.300220,0.6473516572077354,0.28857519473135596,0.19964890559130855,4,21,368,0.7798512766409513,0.5657686358696793,0.8582054453791657,COMPLETE
25,0.7425890755955575,2026-04-12 23:12:00.448506,2026-04-12 23:12:00.659557,0 days 00:00:00.211051,0.7329601502189722,0.4953750868759843,0.1932015985536143,3,21,512,0.041985633355400065,1.0419993659397309,0.886121114941209,COMPLETE
26,0.7445398621031337,2026-04-12 23:12:00.659557,2026-04-12 23:12:01.096201,0 days 00:00:00.436644,0.6506277153287695,0.30589425299162804,0.03650417109223908,4,27,705,0.836099029988914,1.8035488748353887,0.8294365633196441,COMPLETE
27,0.742361999917427,2026-04-12 23:12:01.096201,2026-04-12 23:12:01.356931,0 days 00:00:00.260730,0.5746071725760173,0.41758640785984646,0.15327106696762222,3,20,372,0.4555036847321828,1.364807527088559,0.954158917435375,COMPLETE
28,0.7455513810329879,2026-04-12 23:12:01.356931,2026-04-12 23:12:01.724510,0 days 00:00:00.367579,0.7353852969639049,0.3063339975654047,0.09123945962266199,5,14,517,0.7210680749503469,0.8260129116211576,0.7826320159809069,COMPLETE
29,0.7498658189174683,2026-04-12 23:12:01.724510,2026-04-12 23:12:01.920354,0 days 00:00:00.195844,0.6662999127377544,0.5547845428183138,0.19545119043594664,5,23,756,0.9726470394536599,0.5179395738274248,0.8813511913754797,COMPLETE
30,0.743259981008216,2026-04-12 23:12:01.920354,2026-04-12 23:12:02.153180,0 days 00:00:00.232826,0.8683642513675406,0.07975741911194034,0.13570085396339945,4,18,351,1.0894368063230602,1.8702151981678266,0.9441872718718981,COMPLETE
31,0.7462532513108459,2026-04-12 23:12:02.153180,2026-04-12 23:12:02.329424,0 days 00:00:00.176244,0.5601913597860765,0.21077573016073986,0.1259435069649158,4,25,232,1.3566146114679105,0.5056832248080945,0.8317088870087866,COMPLETE
32,0.7361483836340366,2026-04-12 23:12:02.329424,2026-04-12 23:12:02.476850,0 days 00:00:00.147426,0.5085023181245053,0.2684581052337896,0.16692664220571474,3,24,205,0.7612838075578436,1.1769204477524635,0.8506073619116,COMPLETE
33,0.7525804054333016,2026-04-12 23:12:02.476850,2026-04-12 23:12:02.616764,0 days 00:00:00.139914,0.46609657363312684,0.1313575558594785,0.15896567357909347,4,28,389,0.606512439521554,0.7887401507166196,0.8918670561655468,COMPLETE
34,0.7460571404979152,2026-04-12 23:12:02.616764,2026-04-12 23:12:02.783081,0 days 00:00:00.166317,0.6239555003238668,0.19225117429339678,0.11275526517219168,8,25,482,0.9218037677642115,1.3016102060704844,0.8588050707521632,COMPLETE
35,0.7478221378142934,2026-04-12 23:12:02.783081,2026-04-12 23:12:02.922206,0 days 00:00:00.139125,0.4830383970397507,0.3713591429137409,0.14760997684373542,5,22,324,1.1751968817841099,1.583415884459399,0.8244601925728126,COMPLETE
36,0.7464596837455101,2026-04-12 23:12:02.922206,2026-04-12 23:12:03.212760,0 days 00:00:00.290554,0.6391812361461868,0.4607138547448906,0.07284040115391333,4,19,565,1.5119770733153455,0.86940899656663,0.7724099760724331,COMPLETE
37,0.7522810784030387,2026-04-12 23:12:03.212760,2026-04-12 23:12:03.409251,0 days 00:00:00.196491,0.7084744068764393,0.34218143082189484,0.198046484175493,6,29,295,0.49213656270441686,1.1492116286817233,0.7006370428783895,COMPLETE
38,0.7472854134841667,2026-04-12 23:12:03.409251,2026-04-12 23:12:03.559973,0 days 00:00:00.150722,0.590858940278805,0.10727389431225087,0.16650058961414851,3,2,994,0.6565111815967019,0.5012150156478969,0.9340475421701918,COMPLETE
39,0.7516617810990462,2026-04-12 23:12:03.559973,2026-04-12 23:12:03.794884,0 days 00:00:00.234911,0.4029071332535476,0.17999093165271385,0.10388012035220538,5,26,639,1.0248577001630963,1.6278274941677777,0.9029529643605428,COMPLETE
40,0.7421039593740968,2026-04-12 23:12:03.794884,2026-04-12 23:12:03.933733,0 days 00:00:00.138849,0.6933826925179774,0.0014500117927535028,0.017400385970233974,6,21,1497,0.86624819352627,2.568147481095274,0.9741456720510684,COMPLETE
41,0.7510631270385203,2026-04-12 23:12:03.933733,2026-04-12 23:12:04.060914,0 days 00:00:00.127181,0.502143398926898,0.0533675304159179,0.12220147988360514,5,16,1137,1.6663095895032132,3.4118927993014534,0.646525581163171,COMPLETE
42,0.7385017133892077,2026-04-12 23:12:04.060914,2026-04-12 23:12:04.189785,0 days 00:00:00.128871,0.543615810410815,0.18143645969630146,0.16153685990896507,4,18,1410,1.8206301981198634,3.170732177719269,0.7418806866085834,COMPLETE
43,0.744457289129268,2026-04-12 23:12:04.189785,2026-04-12 23:12:04.320742,0 days 00:00:00.130957,0.468702942154845,0.06486213952416675,0.14077192852786988,5,23,964,1.3799949094257653,4.016446491043125,0.793951695940396,COMPLETE
44,0.7310391808760992,2026-04-12 23:12:04.320742,2026-04-12 23:12:04.428699,0 days 00:00:00.107957,0.9589165228874523,0.2574957094797547,0.010580156758152362,4,13,1192,1.4725012085796854,3.0719635768557265,0.8765485259281942,COMPLETE
45,0.7515069567730482,2026-04-12 23:12:04.428699,2026-04-12 23:12:04.605045,0 days 00:00:00.176346,0.5750842710277639,0.44057174563809337,0.17510621309500699,3,20,293,1.2039052046974654,2.8128616043113204,0.7069959825272824,COMPLETE
46,0.7529623054374304,2026-04-12 23:12:04.605045,2026-04-12 23:12:04.757611,0 days 00:00:00.152566,0.4305180383496846,0.15162667205442185,0.19760509776752788,5,17,200,1.6892553310634106,0.8196921908912078,0.6542333699226807,COMPLETE
47,0.7480698567358903,2026-04-12 23:12:04.757611,2026-04-12 23:12:04.979188,0 days 00:00:00.221577,0.5145959452613469,0.2172739785394157,0.09358342054957029,4,10,840,1.9117817417604583,3.9508920973284596,0.8197889317901266,COMPLETE
48,0.739812559349325,2026-04-12 23:12:04.979188,2026-04-12 23:12:05.296402,0 days 00:00:00.317214,0.5458273801334754,0.10623164208101415,0.03781642477758633,3,25,821,0.5899489331190088,2.437749490738687,0.8443847941200376,COMPLETE
49,0.7479253540316255,2026-04-12 23:12:05.296402,2026-04-12 23:12:05.460470,0 days 00:00:00.164068,0.793987516706025,0.3405383253136277,0.12280432557391227,5,22,393,1.5969937722912246,0.6940615744351424,0.9014164168439819,COMPLETE
50,0.7555633541141984,2026-04-12 23:12:05.460470,2026-04-12 23:12:05.708046,0 days 00:00:00.247576,0.6284627837982786,0.033196004941011215,0.17218347548135687,4,20,477,1.3161334219013265,1.4599708080140172,0.8701334208767363,COMPLETE
51,0.7523326865117048,2026-04-12 23:12:05.708046,2026-04-12 23:12:05.878697,0 days 00:00:00.170651,0.590562528390742,0.014133251132534004,0.17319337720256456,4,20,498,1.1013871573831597,1.1973978536660166,0.867355335250039,COMPLETE
52,0.7434457701994137,2026-04-12 23:12:05.879769,2026-04-12 23:12:06.186833,0 days 00:00:00.307064,0.6181330539579815,0.04995841836724129,0.15399707633888965,4,24,272,1.3071443477969296,1.4869613191855675,0.8093956646779736,COMPLETE
53,0.7465112918541762,2026-04-12 23:12:06.186833,2026-04-12 23:12:06.351758,0 days 00:00:00.164925,0.6590346290019092,0.26965425645915153,0.17824399113368697,3,18,461,1.7875065739746623,0.8717602856131978,0.9190204404356926,COMPLETE
54,0.7386771809586722,2026-04-12 23:12:06.351758,2026-04-12 23:12:06.583111,0 days 00:00:00.231353,0.6898458789958299,0.149240261778699,0.13871503165388382,6,22,547,0.7849312012000768,0.9488034116178102,0.836962703043192,COMPLETE
55,0.7461913215804468,2026-04-12 23:12:06.583111,2026-04-12 23:12:06.822010,0 days 00:00:00.238899,0.6354400971588884,0.7068295147043591,0.18115925166828983,4,27,660,1.9961468680760208,0.6604209667164889,0.8648171845328585,COMPLETE
56,0.7416291647743692,2026-04-12 23:12:06.822010,2026-04-12 23:12:07.016807,0 days 00:00:00.194797,0.7148334432316181,0.11772668216244604,0.10809096177924177,3,23,345,0.9114534677893732,1.7890655043902544,0.9755713621486126,COMPLETE
57,0.7542009000454152,2026-04-12 23:12:07.016807,2026-04-12 23:12:07.731540,0 days 00:00:00.714733,0.7597919324979489,0.17852387119635718,0.08224196212209173,5,15,1059,1.4416169135360508,1.1175213142042455,0.7564829664916164,COMPLETE
58,0.7534164567936914,2026-04-12 23:12:07.731540,2026-04-12 23:12:07.918526,0 days 00:00:00.186986,0.4278019634056707,0.4056328668474419,0.14954941131210817,4,21,1325,0.3897505066414364,3.2540782676049105,0.7980139824398214,COMPLETE
