number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7426922918128896,2026-04-12 23:12:17.853472,2026-04-12 23:12:17.995186,0 days 00:00:00.141714,0.49359671220172163,0.05808361216819946,0.17254716573280354,5,18,1152,1.7323522915498704,3.20501755284444,0.6624074561769746,COMPLETE
1,0.737118616076958,2026-04-12 23:12:17.995186,2026-04-12 23:12:18.191625,0 days 00:00:00.196439,0.5090949803242604,0.18340450985343382,0.010636066512540286,7,25,1461,0.6084844859190754,2.86140394234507,0.6849356442713105,COMPLETE
2,0.7465319350976426,2026-04-12 23:12:18.191625,2026-04-12 23:12:18.390591,0 days 00:00:00.198966,0.619817105976215,0.45606998421703593,0.023927528765580644,6,5,996,1.5703519227860272,1.3985320197126188,0.7168578594140873,COMPLETE
3,0.7349097890260518,2026-04-12 23:12:18.390591,2026-04-12 23:12:18.627061,0 days 00:00:00.236470,0.43903095579116774,0.9488855372533332,0.05898602410432694,6,19,260,1.9312640661491187,4.137788066524076,0.6682096494749166,COMPLETE
4,0.7353536187605797,2026-04-12 23:12:18.627061,2026-04-12 23:12:18.834487,0 days 00:00:00.207426,0.6971061460667621,0.034388521115218396,0.013399060561509796,5,14,1090,1.8186408041575641,1.6645099172000761,0.6488152939379115,COMPLETE
5,0.7306159943850378,2026-04-12 23:12:18.834487,2026-04-12 23:12:19.141778,0 days 00:00:00.307291,0.9817507766587351,0.7751328233611146,0.02544166090938368,7,17,876,1.8789978831283782,4.526723076924419,0.6739417822102108,COMPLETE
6,0.7460777837413815,2026-04-12 23:12:19.141778,2026-04-12 23:12:19.321998,0 days 00:00:00.180220,0.5951981984579586,0.388677289689482,0.15826541904647565,7,6,315,0.5426980635477918,4.229318791183682,0.6180909155642152,COMPLETE
7,0.7345588538871227,2026-04-12 23:12:19.321998,2026-04-12 23:12:19.501765,0 days 00:00:00.179767,0.44473038620786254,0.9868869366005173,0.023200867504756827,5,5,906,1.5444895385933148,1.3942205669037757,0.9208787923016158,COMPLETE
8,0.7340840592873952,2026-04-12 23:12:19.501765,2026-04-12 23:12:19.631084,0 days 00:00:00.129319,0.44442679104045424,0.3584657285442726,0.11506408247250169,3,22,1119,0.23173811905025943,4.383965416440171,0.9085081386743783,COMPLETE
9,0.7336195863094009,2026-04-12 23:12:19.631084,2026-04-12 23:12:19.964312,0 days 00:00:00.333228,0.8377637070028385,0.6375574713552131,0.026946865572417687,7,10,282,1.774425485152653,2.6249671632287717,0.7300733288106989,COMPLETE
10,0.7347859295652532,2026-04-12 23:12:19.964312,2026-04-12 23:12:20.382439,0 days 00:00:00.418127,0.71273985300103,0.5521954513351884,0.05424191230104696,9,1,600,1.2481670543447305,0.6795839107376818,0.8010124870699186,COMPLETE
11,0.7497729243218695,2026-04-12 23:12:20.382439,2026-04-12 23:12:20.816298,0 days 00:00:00.433859,0.605509596242654,0.3614941996883464,0.09611738294309832,9,7,509,0.8542246112666637,3.537278577791157,0.7737425087025644,COMPLETE
12,0.7574212460261757,2026-04-12 23:12:20.816298,2026-04-12 23:12:21.260895,0 days 00:00:00.444597,0.6264965712313108,0.3393678895012091,0.09244179230118688,9,10,583,1.0601418083991399,2.081845972183778,0.8034225897057347,COMPLETE
13,0.7473886297014987,2026-04-12 23:12:21.260895,2026-04-12 23:12:21.808356,0 days 00:00:00.547461,0.7544846791129365,0.24155493298033986,0.08140299388145905,9,30,596,0.9941707872217049,3.4294727488781893,0.8134443425342889,COMPLETE
14,0.7397299863754594,2026-04-12 23:12:21.808356,2026-04-12 23:12:22.060309,0 days 00:00:00.251953,0.5902909001032544,0.17405551542079015,0.09784782950094352,9,11,610,0.9676769750823181,2.29430363271153,0.8524337374155859,COMPLETE
15,0.7398228809710581,2026-04-12 23:12:22.060309,2026-04-12 23:12:22.281456,0 days 00:00:00.221147,0.8105092769111841,0.3006839042393384,0.0726077367240438,8,10,468,0.6702843025277729,3.585421472958645,0.7547713097442489,COMPLETE
16,0.748348540522687,2026-04-12 23:12:22.283459,2026-04-12 23:12:22.611277,0 days 00:00:00.327818,0.6527110957040927,0.5872289551877949,0.037602232099475066,8,1,685,1.2870633940900573,2.1127562815574388,0.8642396983313831,COMPLETE
17,0.7603732298418728,2026-04-12 23:12:22.611277,2026-04-12 23:12:23.231944,0 days 00:00:00.620667,0.5344872536979647,0.696426527040237,0.12226669414704656,8,13,421,0.07260962646423674,4.974562752753115,0.7629352649141516,COMPLETE
18,0.7519095000206432,2026-04-12 23:12:23.231944,2026-04-12 23:12:23.672207,0 days 00:00:00.440263,0.5300575228498998,0.7255429663622144,0.14620884634351175,8,14,720,0.14144775359301562,4.887312101318932,0.8416634198004797,COMPLETE
19,0.7369534701292267,2026-04-12 23:12:23.672207,2026-04-12 23:12:23.789803,0 days 00:00:00.117596,0.5428498657668875,0.8417383744617795,0.11826909151719979,3,13,398,0.3391630587755038,0.695106931655114,0.9464839959030332,COMPLETE
20,0.7441373188555387,2026-04-12 23:12:23.789803,2026-04-12 23:12:24.051145,0 days 00:00:00.261342,0.9031522400235494,0.4726838974048967,0.1945075507375914,8,22,391,0.023241923255106545,1.9077701319167457,0.9894738314526085,COMPLETE
21,0.7660707650386028,2026-04-12 23:12:24.051145,2026-04-12 23:12:24.690211,0 days 00:00:00.639066,0.5373302338318781,0.7050802607071955,0.13036189789941302,8,15,798,0.032576822154130415,4.899828562666797,0.8365328339882004,COMPLETE
22,0.744612113455266,2026-04-12 23:12:24.690211,2026-04-12 23:12:24.996230,0 days 00:00:00.306019,0.5496735937933772,0.6765323482096725,0.07105362291731517,8,9,769,0.33603183995391933,4.866709122058121,0.7724241235931085,COMPLETE
23,0.7450765864332604,2026-04-12 23:12:24.998288,2026-04-12 23:12:25.272647,0 days 00:00:00.274359,0.668630289803052,0.8512496948120486,0.12139975236903547,9,16,814,1.2464089106109921,3.914732053304491,0.8241565202379116,COMPLETE
24,0.7387803971760043,2026-04-12 23:12:25.272647,2026-04-12 23:12:25.666808,0 days 00:00:00.394161,0.4857816526727198,0.5452984604569244,0.04085890279051132,6,12,494,0.0255444636376546,4.916583088087535,0.8907069921400944,COMPLETE
25,0.7568535568308492,2026-04-12 23:12:25.666808,2026-04-12 23:12:25.926942,0 days 00:00:00.260134,0.4006971519720357,0.8029191731487808,0.13822537245285835,8,21,689,0.7616134388062972,2.676854355288659,0.7287397928489925,COMPLETE
26,0.7464287188803105,2026-04-12 23:12:25.926942,2026-04-12 23:12:26.198632,0 days 00:00:00.271690,0.5569006043739295,0.6563319801412013,0.09313581262388688,9,8,1277,0.4275287242881991,3.869258217377469,0.7851954232539129,COMPLETE
27,0.7431051566822179,2026-04-12 23:12:26.198632,2026-04-12 23:12:26.405497,0 days 00:00:00.206865,0.6501611406470202,0.8840450261487557,0.05542802369399777,7,16,907,1.094464598699684,1.108322769926244,0.8754053633645488,COMPLETE
28,0.7480388918706907,2026-04-12 23:12:26.405497,2026-04-12 23:12:26.579077,0 days 00:00:00.173580,0.7383681021427756,0.72063126984611,0.19146793391477296,4,14,204,0.2048499585287437,4.618737365022227,0.7518679098604203,COMPLETE
29,0.7600429379464102,2026-04-12 23:12:26.579077,2026-04-12 23:12:26.932554,0 days 00:00:00.353477,0.4871427924733447,0.44085492487833117,0.15948125421009432,8,3,999,0.4784606158810053,3.083978051288055,0.831714782293097,COMPLETE
30,0.7557697865488626,2026-04-12 23:12:26.932554,2026-04-12 23:12:27.108199,0 days 00:00:00.175645,0.4778723757716547,0.60904135906311,0.15658454837397934,7,19,1298,0.4238717153627659,3.165089431434719,0.8312574206442143,COMPLETE
31,0.7585772676602947,2026-04-12 23:12:27.108199,2026-04-12 23:12:27.486895,0 days 00:00:00.378696,0.571262673561849,0.4621402225682101,0.1276660299086818,8,4,1041,0.00040982245353470004,2.3313201468493574,0.8042453290930773,COMPLETE
32,0.7674332191073862,2026-04-12 23:12:27.486895,2026-04-12 23:12:27.967291,0 days 00:00:00.480396,0.5106704734519492,0.4245290239715521,0.13505332586702362,8,3,1028,0.11775407235813695,3.122122362817098,0.6973578805957572,COMPLETE
33,0.7496903513480038,2026-04-12 23:12:27.967291,2026-04-12 23:12:28.232144,0 days 00:00:00.264853,0.49914261397218096,0.512153424927972,0.17252925348027937,8,3,1198,0.13876612525661447,3.2265367684521533,0.7031017933157212,COMPLETE
34,0.7526320135419677,2026-04-12 23:12:28.232144,2026-04-12 23:12:28.592715,0 days 00:00:00.360571,0.4651783663790715,0.4163534343115017,0.10531178713338263,6,2,987,0.2839241178781013,2.9625406251977022,0.6387292437484664,COMPLETE
35,0.745303662111391,2026-04-12 23:12:28.592715,2026-04-12 23:12:28.857434,0 days 00:00:00.264719,0.40950329453985895,0.13744432404899404,0.14032769685152893,7,26,981,0.5268466701241219,3.882524761362233,0.6902984291223898,COMPLETE
36,0.7576689649477726,2026-04-12 23:12:28.857434,2026-04-12 23:12:29.232219,0 days 00:00:00.374785,0.5087823958641549,0.7168240156916953,0.1902017520209348,8,7,1474,0.12417087802645156,4.719747736746362,0.708403040988687,COMPLETE
37,0.7508154081169234,2026-04-12 23:12:29.232219,2026-04-12 23:12:29.420085,0 days 00:00:00.187866,0.5200985457519159,0.26945521297424047,0.07830624032402639,7,4,1234,0.3999446397955761,3.038122354867337,0.6000709941339399,COMPLETE
38,0.7511250567689195,2026-04-12 23:12:29.420085,2026-04-12 23:12:29.616597,0 days 00:00:00.196512,0.42777186108144183,0.42445016274119746,0.06304829064727176,7,6,1375,0.5613315288977444,4.214274139841292,0.7382996932307472,COMPLETE
39,0.7595887865901491,2026-04-12 23:12:29.616597,2026-04-12 23:12:29.891364,0 days 00:00:00.274767,0.4701271529609245,0.527815890547237,0.16859182976857162,6,18,1090,0.21620576992553803,4.474121866063902,0.6577110784026389,COMPLETE
40,0.742909045869287,2026-04-12 23:12:29.891364,2026-04-12 23:12:30.189792,0 days 00:00:00.298428,0.5686276504029898,0.9394169083408899,0.017400385970233974,8,26,837,0.06825005256380356,4.068099041118355,0.7834346937931121,COMPLETE
41,0.756843235209116,2026-04-12 23:12:30.189792,2026-04-12 23:12:30.439724,0 days 00:00:00.249932,0.4607845549950988,0.5515009535272127,0.15929950549553695,6,18,1042,0.21745810346960212,4.559418431755578,0.646525581163171,COMPLETE
42,0.7485756162008175,2026-04-12 23:12:30.439724,2026-04-12 23:12:30.626884,0 days 00:00:00.187160,0.4954357514098615,0.4908006697819299,0.13349447596985256,4,20,1141,0.25379289437505714,4.455677625020635,0.6706238672484575,COMPLETE
