number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8109447839134594,2026-04-12 23:13:15.776876,2026-04-12 23:13:16.029511,0 days 00:00:00.252635,0.49359671220172163,0.05808361216819946,0.17254716573280354,5,18,1152,1.7323522915498704,3.20501755284444,0.5780093202212182,COMPLETE
1,0.8102618496560299,2026-04-12 23:13:16.029511,2026-04-12 23:13:17.012689,0 days 00:00:00.983178,0.5090949803242604,0.18340450985343382,0.010636066512540286,7,25,1461,0.6084844859190754,2.86140394234507,0.6061695553391381,COMPLETE
2,0.8098864145930452,2026-04-12 23:13:17.012689,2026-04-12 23:13:17.809243,0 days 00:00:00.796554,0.619817105976215,0.45606998421703593,0.023927528765580644,6,5,996,1.5703519227860272,1.3985320197126188,0.6460723242676091,COMPLETE
3,0.8140523766616945,2026-04-12 23:13:17.809243,2026-04-12 23:13:18.305451,0 days 00:00:00.496208,0.43903095579116774,0.9488855372533332,0.05898602410432694,6,19,260,1.9312640661491187,4.137788066524076,0.5852620618436457,COMPLETE
4,0.8113662807572808,2026-04-12 23:13:18.305451,2026-04-12 23:13:19.103028,0 days 00:00:00.797577,0.6971061460667621,0.034388521115218396,0.013399060561509796,5,14,1090,1.8186408041575641,1.6645099172000761,0.5610191174223894,COMPLETE
5,0.8094123358076293,2026-04-12 23:13:19.103028,2026-04-12 23:13:19.398085,0 days 00:00:00.295057,0.9817507766587351,0.7751328233611146,0.02544166090938368,7,17,876,1.8789978831283782,4.526723076924419,0.5924272277627636,COMPLETE
6,0.8064326223413518,2026-04-12 23:13:19.398085,2026-04-12 23:13:19.774966,0 days 00:00:00.376881,0.5951981984579586,0.388677289689482,0.15826541904647565,7,6,315,0.5426980635477918,4.229318791183682,0.522613644455269,COMPLETE
7,0.813343782416767,2026-04-12 23:13:19.774966,2026-04-12 23:13:20.770262,0 days 00:00:00.995296,0.44473038620786254,0.9868869366005173,0.023200867504756827,5,5,906,1.5444895385933148,1.3942205669037757,0.9010984903770198,COMPLETE
8,0.8130543714102308,2026-04-12 23:13:20.772299,2026-04-12 23:13:21.284581,0 days 00:00:00.512282,0.44442679104045424,0.3584657285442726,0.11506408247250169,3,22,1119,0.23173811905025943,4.383965416440171,0.8856351733429728,COMPLETE
9,0.7973386807064656,2026-04-12 23:13:21.284581,2026-04-12 23:13:21.665056,0 days 00:00:00.380475,0.8377637070028385,0.6375574713552131,0.026946865572417687,7,10,282,1.774425485152653,2.6249671632287717,0.6625916610133735,COMPLETE
10,0.8138708637993104,2026-04-12 23:13:21.665056,2026-04-12 23:13:22.084414,0 days 00:00:00.419358,0.8141482441414871,0.9730835714873474,0.07008140236396197,9,28,532,1.1998312736251522,3.4608298323696647,0.7595720016297407,COMPLETE
11,0.8085171808339243,2026-04-12 23:13:22.084414,2026-04-12 23:13:22.432502,0 days 00:00:00.348088,0.8216195396547992,0.9681331362746253,0.06931012670622363,9,29,523,1.1485388105536878,3.62121262687908,0.7795107662780011,COMPLETE
12,0.8104530375956677,2026-04-12 23:13:22.432502,2026-04-12 23:13:22.796353,0 days 00:00:00.363851,0.8253622963962625,0.7719240123800709,0.06734410464314741,9,30,589,1.1743678096091887,4.961273816580538,0.7343526094439211,COMPLETE
13,0.8117192107492631,2026-04-12 23:13:22.796353,2026-04-12 23:13:23.507105,0 days 00:00:00.710752,0.9251208255256189,0.8342622328814129,0.05220900219757138,3,24,571,0.8306632751355922,3.7095188049597962,0.7915954946641021,COMPLETE
14,0.8015633242219344,2026-04-12 23:13:23.507105,2026-04-12 23:13:23.936917,0 days 00:00:00.429812,0.7186744182108762,0.5892451208510634,0.09478478413672914,8,20,421,1.3783116459697247,2.211862269538728,0.9969328809173613,COMPLETE
15,0.8110941166275878,2026-04-12 23:13:23.936917,2026-04-12 23:13:24.513052,0 days 00:00:00.576135,0.7177155787244006,0.8773128791394013,0.03424807340773267,4,13,202,1.9978601853182179,3.76779835533773,0.7116709551522808,COMPLETE
16,0.8073757320457908,2026-04-12 23:13:24.513052,2026-04-12 23:13:24.991495,0 days 00:00:00.478443,0.5842428412925791,0.6571453043275615,0.04403997645399454,8,26,635,0.054438052782394,0.5593064647141559,0.845681399072977,COMPLETE
17,0.8113330489701931,2026-04-12 23:13:24.993498,2026-04-12 23:13:25.266840,0 days 00:00:00.273342,0.8775264661611893,0.9024426661978917,0.09500779236599044,6,21,718,1.370618736844182,3.228335062681309,0.6819187581275602,COMPLETE
18,0.8001644342477544,2026-04-12 23:13:25.266840,2026-04-12 23:13:25.681122,0 days 00:00:00.414282,0.7549106025974354,0.7255429663622144,0.0587432944960689,8,1,418,0.8891806738581367,4.122998839429758,0.5096877553396489,COMPLETE
19,0.8099354209626113,2026-04-12 23:13:25.681122,2026-04-12 23:13:26.366614,0 days 00:00:00.685492,0.4046324014341391,0.5376262410857092,0.03955516495537839,4,27,744,1.0327176371488695,4.828311322822785,0.8225277071250963,COMPLETE
20,0.8097301410626263,2026-04-12 23:13:26.366614,2026-04-12 23:13:26.681383,0 days 00:00:00.314769,0.6454006426421942,0.25997423016857735,0.12337213607394863,6,11,401,0.6102913454840344,2.3280034120995743,0.964051434116436,COMPLETE
21,0.8142704865554287,2026-04-12 23:13:26.681383,2026-04-12 23:13:27.487658,0 days 00:00:00.806275,0.5113627599151671,0.9835614719955205,0.01631216454734748,5,7,830,1.5324554831651995,0.8859803352680802,0.9132552668443416,COMPLETE
22,0.8127279427168121,2026-04-12 23:13:27.487658,2026-04-12 23:13:28.675039,0 days 00:00:01.187381,0.530618603982028,0.9806835498577523,0.016793327248743748,4,9,766,1.527379376194162,0.817894014539261,0.9235169616730705,COMPLETE
23,0.8124795456247197,2026-04-12 23:13:28.676041,2026-04-12 23:13:29.020214,0 days 00:00:00.344173,0.5260470357692825,0.9144244487281407,0.0767380131706316,5,1,1376,1.333597704500437,3.3530584665817456,0.8529756994101622,COMPLETE
24,0.8082816137355809,2026-04-12 23:13:29.020214,2026-04-12 23:13:29.726658,0 days 00:00:00.706444,0.4189729932086154,0.8444456621309413,0.033022418321456075,6,15,209,1.5931970448830541,3.931456634948697,0.748622693690503,COMPLETE
25,0.8091012610411561,2026-04-12 23:13:29.726658,2026-04-12 23:13:30.178881,0 days 00:00:00.452223,0.7636635142940947,0.7661016752501413,0.05165923833081062,6,18,494,1.9756930422536187,1.9688733617416276,0.789528458298212,COMPLETE
26,0.8137545525445032,2026-04-12 23:13:30.178881,2026-04-12 23:13:31.202267,0 days 00:00:01.023386,0.4834538349221776,0.9435923508499106,0.01791725359557661,5,7,658,1.7057170880015782,2.87390543176279,0.6251346235934894,COMPLETE
27,0.8153183394875239,2026-04-12 23:13:31.202267,2026-04-12 23:13:31.607361,0 days 00:00:00.405094,0.664291879275543,0.6892348728717252,0.08650442125894361,4,12,333,1.2361585809270954,1.0245459690419414,0.7053877642910074,COMPLETE
28,0.8128974668965128,2026-04-12 23:13:31.607361,2026-04-12 23:13:33.068877,0 days 00:00:01.461516,0.5588303198828075,0.8202999845388819,0.01017869130287704,4,13,1225,1.409842286668095,1.0152880581777342,0.6982043410018308,COMPLETE
29,0.8067178267925604,2026-04-12 23:13:33.068877,2026-04-12 23:13:33.369421,0 days 00:00:00.300544,0.6511715507978135,0.6679851082724919,0.18505995430619274,3,18,1258,1.6796769123632265,0.966774769454434,0.5544365746036534,COMPLETE
30,0.814684201271894,2026-04-12 23:13:33.369924,2026-04-12 23:13:33.926969,0 days 00:00:00.557045,0.48558369851692496,0.7154926450220577,0.08569898323042595,4,3,323,1.8731657306602,0.5496661891753936,0.6507885976201789,COMPLETE
31,0.8071288072480631,2026-04-12 23:13:33.926969,2026-04-12 23:13:34.260173,0 days 00:00:00.333204,0.4771947650956575,0.7129743991071734,0.08849160370210903,4,3,328,1.8605884574075537,0.505583742060919,0.6476164808466424,COMPLETE
32,0.8099030304865891,2026-04-12 23:13:34.260173,2026-04-12 23:13:34.544952,0 days 00:00:00.284779,0.4600750694666345,0.5340682209236733,0.1131344326137525,5,9,356,1.7022004103568609,1.3361581583193027,0.606216823987958,COMPLETE
33,0.8065304247527176,2026-04-12 23:13:34.544952,2026-04-12 23:13:34.816649,0 days 00:00:00.271697,0.507724535958384,0.45327353642855445,0.14465143292732247,5,3,277,1.4786538920528243,1.1609722908154776,0.6750445646136429,COMPLETE
34,0.812125353666139,2026-04-12 23:13:34.816649,2026-04-12 23:13:35.146250,0 days 00:00:00.329601,0.5506123362463018,0.612877527093179,0.08314267173881539,4,8,463,1.8911142469338522,1.6176451679812776,0.6321499058216585,COMPLETE
35,0.8150577433849815,2026-04-12 23:13:35.146250,2026-04-12 23:13:36.453371,0 days 00:00:01.307121,0.6214153983911876,0.8675335496991634,0.05715531337403445,3,11,997,1.2736973337014468,0.8158699044460247,0.7028617998757127,COMPLETE
36,0.810923961464588,2026-04-12 23:13:36.453371,2026-04-12 23:13:38.853945,0 days 00:00:02.400574,0.6362104217332452,0.7168240156916953,0.01298378485312935,3,12,938,1.2678370308811275,0.7699242454378464,0.7133456145286303,COMPLETE
37,0.813184143642086,2026-04-12 23:13:38.853945,2026-04-12 23:13:39.411003,0 days 00:00:00.557058,0.6780220680601772,0.11351973707695973,0.05760613305158363,3,4,1072,0.9977259090011092,1.6351439780768764,0.7161947164589672,COMPLETE
38,0.8136622186550634,2026-04-12 23:13:39.411003,2026-04-12 23:13:39.961419,0 days 00:00:00.550416,0.5963274551748082,0.8738805768539775,0.04573011228356633,4,6,994,1.0555827147723635,0.7601991509463785,0.6776910880944566,COMPLETE
39,0.8138304808681657,2026-04-12 23:13:39.961419,2026-04-12 23:13:40.470290,0 days 00:00:00.508871,0.6010211953534911,0.7809984530937989,0.13564080993436012,3,16,860,1.620900359178346,1.2528483489308924,0.5721388480032987,COMPLETE
40,0.8036451484535441,2026-04-12 23:13:40.470290,2026-04-12 23:13:40.768754,0 days 00:00:00.298464,0.5626417182529765,0.8275682527088954,0.09883154051249074,5,11,1497,1.469177891626794,0.9966858200166834,0.738758594767192,COMPLETE
