number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8114344269535875,2026-04-12 23:14:09.496205,2026-04-12 23:14:09.912035,0 days 00:00:00.415830,0.49359671220172163,0.05808361216819946,0.17254716573280354,5,18,1152,1.7323522915498704,3.20501755284444,0.5780093202212182,COMPLETE
1,0.8143523040565495,2026-04-12 23:14:09.912035,2026-04-12 23:14:11.223114,0 days 00:00:01.311079,0.5090949803242604,0.18340450985343382,0.010636066512540286,7,25,1461,0.6084844859190754,2.86140394234507,0.6061695553391381,COMPLETE
2,0.8131504911994657,2026-04-12 23:14:11.223114,2026-04-12 23:14:12.085103,0 days 00:00:00.861989,0.619817105976215,0.45606998421703593,0.023927528765580644,6,5,996,1.5703519227860272,1.3985320197126188,0.6460723242676091,COMPLETE
3,0.8103766886164724,2026-04-12 23:14:12.085103,2026-04-12 23:14:12.550297,0 days 00:00:00.465194,0.43903095579116774,0.9488855372533332,0.05898602410432694,6,19,260,1.9312640661491187,4.137788066524076,0.5852620618436457,COMPLETE
4,0.8178569956277064,2026-04-12 23:14:12.550297,2026-04-12 23:14:14.611319,0 days 00:00:02.061022,0.6971061460667621,0.034388521115218396,0.013399060561509796,5,14,1090,1.8186408041575641,1.6645099172000761,0.5610191174223894,COMPLETE
5,0.8151519702243187,2026-04-12 23:14:14.611319,2026-04-12 23:14:15.598182,0 days 00:00:00.986863,0.9817507766587351,0.7751328233611146,0.02544166090938368,7,17,876,1.8789978831283782,4.526723076924419,0.5924272277627636,COMPLETE
6,0.8161743734966823,2026-04-12 23:14:15.598182,2026-04-12 23:14:15.986402,0 days 00:00:00.388220,0.5951981984579586,0.388677289689482,0.15826541904647565,7,6,315,0.5426980635477918,4.229318791183682,0.522613644455269,COMPLETE
7,0.820456857147905,2026-04-12 23:14:15.986402,2026-04-12 23:14:17.138512,0 days 00:00:01.152110,0.44473038620786254,0.9868869366005173,0.023200867504756827,5,5,906,1.5444895385933148,1.3942205669037757,0.9010984903770198,COMPLETE
8,0.8178773974210451,2026-04-12 23:14:17.138512,2026-04-12 23:14:17.681427,0 days 00:00:00.542915,0.44442679104045424,0.3584657285442726,0.11506408247250169,3,22,1119,0.23173811905025943,4.383965416440171,0.8856351733429728,COMPLETE
9,0.8100513115618856,2026-04-12 23:14:17.681427,2026-04-12 23:14:18.457417,0 days 00:00:00.775990,0.8377637070028385,0.6375574713552131,0.026946865572417687,7,10,282,1.774425485152653,2.6249671632287717,0.6625916610133735,COMPLETE
10,0.7886729664039253,2026-04-12 23:14:18.457417,2026-04-12 23:14:19.459270,0 days 00:00:01.001853,0.8141482441414871,0.9730377607696247,0.06254517730997457,9,1,600,1.2481670543447305,0.6790982273465664,0.9905354130446519,COMPLETE
11,0.817787797792568,2026-04-12 23:14:19.459270,2026-04-12 23:14:19.936289,0 days 00:00:00.477019,0.4124093411638383,0.2979794866095967,0.09743998503699917,3,28,1331,0.14923634455805884,4.9912366965466495,0.8936221864929604,COMPLETE
12,0.8179733068825135,2026-04-12 23:14:19.936289,2026-04-12 23:14:21.255041,0 days 00:00:01.318752,0.5646909839694887,0.6276429452559498,0.03975879223748769,3,23,686,1.125213021889677,2.0397846038906793,0.8280382521790727,COMPLETE
13,0.8206579304925624,2026-04-12 23:14:21.255041,2026-04-12 23:14:22.278521,0 days 00:00:01.023480,0.5743053936796885,0.6634064286119826,0.03663670072463191,4,30,675,1.2075390852730015,1.9852371739875037,0.7738475554128923,COMPLETE
14,0.8212624124931327,2026-04-12 23:14:22.278521,2026-04-12 23:14:24.772885,0 days 00:00:02.494364,0.7017986447597415,0.7893395175907234,0.01775503441347021,4,30,653,1.3783116459697247,0.7242961460446935,0.7521685384483989,COMPLETE
15,0.8213210939399522,2026-04-12 23:14:24.772885,2026-04-12 23:14:26.706759,0 days 00:00:01.933874,0.7164388031675963,0.7714524852457479,0.015778992469449575,4,29,574,0.815323092092662,0.7227261698775403,0.7498600224444595,COMPLETE
16,0.8207551019206291,2026-04-12 23:14:26.706759,2026-04-12 23:14:28.210625,0 days 00:00:01.503866,0.7461695043338068,0.8337700366106356,0.015813500283627435,4,26,480,0.7969135595273178,0.5593064647141559,0.7284515374659977,COMPLETE
17,0.8190358827582551,2026-04-12 23:14:28.210625,2026-04-12 23:14:29.857487,0 days 00:00:01.646862,0.6887044956450539,0.7878884746688503,0.015738632779891928,4,30,481,1.377146324176754,1.0680871837042007,0.7265074563535796,COMPLETE
18,0.8140702545218366,2026-04-12 23:14:29.857487,2026-04-12 23:14:31.014571,0 days 00:00:01.157084,0.8923003969150661,0.5639746990214328,0.018457792807770438,9,21,747,0.9215102085261346,0.7979940481625574,0.8020792747505996,COMPLETE
19,0.8179320826403033,2026-04-12 23:14:31.014571,2026-04-12 23:14:32.652042,0 days 00:00:01.637471,0.7529553136497598,0.8749053325780338,0.01037397785714494,4,13,478,0.6970484184637655,2.3422948201180063,0.6872739805875921,COMPLETE
20,0.8195120648213349,2026-04-12 23:14:32.652042,2026-04-12 23:14:33.316152,0 days 00:00:00.664110,0.6454006426421942,0.7343910665893201,0.031934442496045684,5,26,560,0.3620562540920012,1.1209702544858429,0.8314063332863684,COMPLETE
21,0.8199548047695606,2026-04-12 23:14:33.316152,2026-04-12 23:14:34.708579,0 days 00:00:01.392427,0.7528013562724437,0.8794611490555774,0.016891208107402654,4,26,444,0.8833415802913771,0.524977595397178,0.7232835083720207,COMPLETE
22,0.8165432883989093,2026-04-12 23:14:34.708579,2026-04-12 23:14:36.055040,0 days 00:00:01.346461,0.7733401939218868,0.8506774309620249,0.013186036357327721,4,28,766,0.9234920959031246,1.0794843422215774,0.7380248611172764,COMPLETE
23,0.8135820837760731,2026-04-12 23:14:36.055040,2026-04-12 23:14:37.066986,0 days 00:00:01.011946,0.6588591016448871,0.7251615496994137,0.018832679089001002,3,30,376,0.8105437452488807,0.6077742597862802,0.7781837070258739,COMPLETE
24,0.8075006667390194,2026-04-12 23:14:37.066986,2026-04-12 23:14:37.435883,0 days 00:00:00.368897,0.8893790901529346,0.5370430839461509,0.013303394531563638,6,25,581,1.0557808689123427,3.4348720937980617,0.6851319823950455,COMPLETE
25,0.8198267151598365,2026-04-12 23:14:37.435883,2026-04-12 23:14:38.560306,0 days 00:00:01.124423,0.7189714401308819,0.8689562859919063,0.020613821516536422,5,28,406,0.4771858950503482,1.6437952408039394,0.843452608609377,COMPLETE
26,0.8184198327305339,2026-04-12 23:14:38.560306,2026-04-12 23:14:39.524795,0 days 00:00:00.964489,0.8066624164443026,0.6706606665517352,0.04925210845599843,4,24,548,1.3521577808602692,0.985979163600778,0.704958603377128,COMPLETE
27,0.8055637583384442,2026-04-12 23:14:39.524795,2026-04-12 23:14:40.379583,0 days 00:00:00.854788,0.8658315524411897,0.8089900710651108,0.0149419751227321,3,20,212,0.7507423289013265,1.4069679740596266,0.7603567646471229,COMPLETE
28,0.8198784557903656,2026-04-12 23:14:40.379583,2026-04-12 23:14:42.152700,0 days 00:00:01.773117,0.9438123251782122,0.9274397579800451,0.029677912232698504,4,27,815,1.5134840053896061,1.9540691818345062,0.6289930303077851,COMPLETE
29,0.8179545877113057,2026-04-12 23:14:42.153703,2026-04-12 23:14:44.201964,0 days 00:00:02.048261,0.7079914719265405,0.5824986833101181,0.011099416250543991,5,23,673,0.020696877938193414,3.44146569962205,0.7985357974588102,COMPLETE
30,0.8166196373781045,2026-04-12 23:14:44.201964,2026-04-12 23:14:45.197410,0 days 00:00:00.995446,0.5352878920832902,0.7287733564458421,0.021290085825148963,6,30,921,1.0424381444431678,0.8530499285274351,0.9558460102215038,COMPLETE
31,0.820907589551253,2026-04-12 23:14:45.197410,2026-04-12 23:14:45.965525,0 days 00:00:00.768115,0.6627449635035717,0.6871478387109659,0.035014215957364675,4,30,666,1.2429484675008005,0.5056429726792576,0.7623443659582365,COMPLETE
32,0.8171948838191484,2026-04-12 23:14:45.965525,2026-04-12 23:14:46.470709,0 days 00:00:00.505184,0.6546771082574908,0.8037987273333135,0.033230613392889775,5,28,661,1.3725921593170753,0.5083977877341035,0.7543454657711277,COMPLETE
33,0.817966997049522,2026-04-12 23:14:46.470709,2026-04-12 23:14:47.337050,0 days 00:00:00.866341,0.732899996144268,0.4793566837622146,0.048253418568066024,4,25,503,1.6714670984214184,1.1802213987885828,0.6679762390494353,COMPLETE
