number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8166890245519897,2026-04-12 23:10:35.148668,2026-04-12 23:10:35.344245,0 days 00:00:00.195577,0.49359671220172163,0.05808361216819946,0.17254716573280354,5,18,1152,1.7323522915498704,3.20501755284444,0.5780093202212182,COMPLETE
1,0.8217855487218741,2026-04-12 23:10:35.344245,2026-04-12 23:10:35.975131,0 days 00:00:00.630886,0.5090949803242604,0.18340450985343382,0.010636066512540286,7,25,1461,0.6084844859190754,2.86140394234507,0.6061695553391381,COMPLETE
2,0.8170644980781061,2026-04-12 23:10:35.975131,2026-04-12 23:10:36.161368,0 days 00:00:00.186237,0.619817105976215,0.45606998421703593,0.023927528765580644,6,5,996,1.5703519227860272,1.3985320197126188,0.6460723242676091,COMPLETE
3,0.8235176532557249,2026-04-12 23:10:36.161368,2026-04-12 23:10:36.373030,0 days 00:00:00.211662,0.43903095579116774,0.9488855372533332,0.05898602410432694,6,19,260,1.9312640661491187,4.137788066524076,0.5852620618436457,COMPLETE
4,0.8168355508060838,2026-04-12 23:10:36.373030,2026-04-12 23:10:36.628549,0 days 00:00:00.255519,0.6971061460667621,0.034388521115218396,0.013399060561509796,5,14,1090,1.8186408041575641,1.6645099172000761,0.5610191174223894,COMPLETE
5,0.8226770220307276,2026-04-12 23:10:36.628549,2026-04-12 23:10:37.018535,0 days 00:00:00.389986,0.9817507766587351,0.7751328233611146,0.02544166090938368,7,17,876,1.8789978831283782,4.526723076924419,0.5924272277627636,COMPLETE
6,0.8131266049993242,2026-04-12 23:10:37.018535,2026-04-12 23:10:37.209340,0 days 00:00:00.190805,0.5951981984579586,0.388677289689482,0.15826541904647565,7,6,315,0.5426980635477918,4.229318791183682,0.522613644455269,COMPLETE
7,0.8215619698686442,2026-04-12 23:10:37.209340,2026-04-12 23:10:37.611248,0 days 00:00:00.401908,0.44473038620786254,0.9868869366005173,0.023200867504756827,5,5,906,1.5444895385933148,1.3942205669037757,0.9010984903770198,COMPLETE
8,0.8195933391185941,2026-04-12 23:10:37.611248,2026-04-12 23:10:37.766901,0 days 00:00:00.155653,0.44442679104045424,0.3584657285442726,0.11506408247250169,3,22,1119,0.23173811905025943,4.383965416440171,0.8856351733429728,COMPLETE
9,0.817588392594361,2026-04-12 23:10:37.766901,2026-04-12 23:10:38.116909,0 days 00:00:00.350008,0.8377637070028385,0.6375574713552131,0.026946865572417687,7,10,282,1.774425485152653,2.6249671632287717,0.6625916610133735,COMPLETE
10,0.817213550646926,2026-04-12 23:10:38.116909,2026-04-12 23:10:38.308848,0 days 00:00:00.191939,0.8141482441414871,0.9730835714873474,0.07008140236396197,9,28,532,1.1998312736251522,3.4608298323696647,0.7595720016297407,COMPLETE
11,0.8225466010330102,2026-04-12 23:10:38.308848,2026-04-12 23:10:38.522296,0 days 00:00:00.213448,0.9747857049445863,0.7546466097724526,0.0489694010069944,9,18,654,1.9818684269908782,4.993624434697874,0.7518138484340006,COMPLETE
12,0.8232290217983066,2026-04-12 23:10:38.522296,2026-04-12 23:10:38.770006,0 days 00:00:00.247710,0.9524782189031515,0.8071591762056871,0.04722159118758402,8,13,685,1.18443834565114,4.034471984960165,0.6815347002837151,COMPLETE
13,0.8156061829026597,2026-04-12 23:10:38.770006,2026-04-12 23:10:38.959085,0 days 00:00:00.189079,0.7958136714455292,0.8275959126120492,0.0703057891855127,8,12,571,1.189790602418332,3.843371390767747,0.7035742381932686,COMPLETE
14,0.8217043908613091,2026-04-12 23:10:38.959085,2026-04-12 23:10:39.160568,0 days 00:00:00.201483,0.8977910670299907,0.6232664685688889,0.04338226905470928,3,1,419,0.880346945723832,2.4106533323978203,0.8155421717694825,COMPLETE
15,0.8152379725313801,2026-04-12 23:10:39.160568,2026-04-12 23:10:39.403338,0 days 00:00:00.242770,0.7148967450430752,0.8706480748977843,0.07679242710261669,8,23,722,1.3410902852097726,3.76779835533773,0.675760829066606,COMPLETE
