Bolge,Set,N,AUC,F1,Rec,Prec
MED,M10_base,26,0.742701343358413,0.32625594616544845,0.612636165577342,0.22232764073371283
MED,M11_Faz1,32,0.7545286208190745,0.3062636562272396,0.7328976034858388,0.1935780872367361
MED,M11_Faz2,36,0.7570938397656574,0.3214756258234519,0.6910675381263617,0.20945589012150026
CON,M10_base,26,0.6750951672826673,0.24445411048281862,0.6504629629629629,0.15050883770755222
CON,M11_Faz1,32,0.7162243373180873,0.2711864406779661,0.6481481481481481,0.17146356399265156
CON,M11_Faz2,36,0.7174554362054362,0.26171529619805484,0.6851851851851852,0.16174863387978142
BLK,M10_base,26,0.7115865317281989,0.2830051057622174,0.6830985915492958,0.17847286108555657
BLK,M11_Faz1,32,0.7854883298928895,0.357207615593835,0.6936619718309859,0.24053724053724054
BLK,M11_Faz2,36,0.7571358762170951,0.3079416531604538,0.6690140845070423,0.2
GLOBAL,M10_base,26,0.7231574196121362,0.30670998095664836,0.4546662238458984,0.23140635564570655
GLOBAL,M11_Faz1,32,0.7765330089941133,0.3191547375596455,0.7774825639322485,0.2007890899734111
GLOBAL,M11_Faz2,36,0.7778206480496577,0.3399045818705554,0.6270342079043507,0.23314398616942456
