Bolge,Strat,Ratio,N_train,N_feat,AUC,F1,Rec,Prec,Brier,Score
MED,S1_Tip1,1:1,11896,34,0.7582292129778678,0.3493696938512992,0.5917211328976035,0.24785544807446613,0.5456142092083136,0.5946854053272403
MED,S1_Tip1,1:2,15876,34,0.7561017679593773,0.31286578712429325,0.6871459694989107,0.20254302594400206,0.48447457373116215,0.5788073756253437
MED,S1_Tip1,1:3,15876,34,0.7561017679593773,0.31286578712429325,0.6871459694989107,0.20254302594400206,0.48447457373116215,0.5788073756253437
MED,S1_Tip1,1:4,15876,34,0.7561017679593773,0.31286578712429325,0.6871459694989107,0.20254302594400206,0.48447457373116215,0.5788073756253437
MED,S1_Tip1,1:6,15876,34,0.7561017679593773,0.31286578712429325,0.6871459694989107,0.20254302594400206,0.48447457373116215,0.5788073756253437
MED,S2_Mixed,1:1,11896,34,0.7447207019372774,0.32292266912527373,0.6104575163398693,0.2195236602945785,0.30032267193415735,0.5760014888124758
MED,S2_Mixed,1:2,17844,34,0.7493303762300682,0.3366252821670429,0.5198257080610021,0.24890465261840183,0.1978657179781624,0.584248338604858
MED,S2_Mixed,1:3,23792,34,0.7440113151217108,0.30532847434255883,0.6753812636165577,0.19725120895902265,0.1580269677973895,0.5685381788100501
MED,S2_Mixed,1:4,25628,34,0.7497261443018697,0.325927622537792,0.6200435729847494,0.2210657138418518,0.15587184865954173,0.5802067355962386
MED,S2_Mixed,1:6,25628,34,0.7486024791290854,0.3231211704389146,0.562962962962963,0.2265871623991582,0.15596492126330652,0.5784099556530171
MED,S3_Stratified,1:1,11896,34,0.7254313038451996,0.2781586679725759,0.742483660130719,0.17113588430250076,0.2601424688026998,0.5465222494961501
MED,S3_Stratified,1:2,17844,34,0.7403712277486213,0.3172819689673622,0.5167755991285403,0.22891333719359197,0.16463174602722094,0.5711355242361177
MED,S3_Stratified,1:3,23792,34,0.7315527801483435,0.2996080093230215,0.6161220043572985,0.19792833146696528,0.1331467761271994,0.5587748718182147
MED,S3_Stratified,1:4,29740,34,0.7440942707259837,0.3097273097273097,0.6631808278867103,0.20204433824505508,0.11603322716978977,0.5703474863265141
MED,S3_Stratified,1:6,32840,34,0.7361342007048672,0.3021028523839267,0.632244008714597,0.1984680618246478,0.11111651732844804,0.562521661376491
MED,S4_HighFWI,1:1,11896,34,0.6217608732312315,0.23233264963639755,0.27145969498910677,0.2030638852672751,0.37898803923859015,0.4659895837932979
MED,S4_HighFWI,1:2,17844,34,0.6216510493230971,0.22552362396492937,0.2017429193899782,0.25565985643291,0.30085456648656417,0.46320007917983
MED,S4_HighFWI,1:3,23792,34,0.6195346196278297,0.23814541622760801,0.2954248366013072,0.1994704324801412,0.29100748682937144,0.46697893826774106
MED,S4_HighFWI,1:4,27408,34,0.6145701951472391,0.23469038658912075,0.2989106753812636,0.1931850183047029,0.2786467539958003,0.4626182717239917
MED,S4_HighFWI,1:6,27408,34,0.6145701951472391,0.23469038658912075,0.2989106753812636,0.1931850183047029,0.2786467539958003,0.4626182717239917
MED,S5_HumanContrast,1:1,11896,34,0.6930495127422874,0.2575056366441201,0.47276688453159044,0.1769406392694064,0.23748958554647018,0.5188319623030205
MED,S5_HumanContrast,1:2,17844,34,0.6878186309997314,0.25834159233564585,0.5111111111111111,0.17285587975243147,0.18499193201719338,0.5160278155340972
MED,S5_HumanContrast,1:3,23792,34,0.6834500673694897,0.25025547859657093,0.4801742919389978,0.16922604422604423,0.16191792201354685,0.5101722318603221
MED,S5_HumanContrast,1:4,29740,34,0.6847177493764135,0.2578098567723018,0.4980392156862745,0.17391965916007304,0.1556524836254381,0.5139545923347688
MED,S5_HumanContrast,1:6,39304,34,0.6911598056533591,0.258203335126412,0.5228758169934641,0.17142857142857143,0.14909193956834618,0.5179772174425803
MED,S6_Full,1:1,11896,34,0.7573407647019076,0.31504702194357365,0.43790849673202614,0.2460220318237454,0.21782502593542769,0.580423267598574
MED,S6_Full,1:2,17844,34,0.7616813244279554,0.2961383558398484,0.27233115468409586,0.3245067497403946,0.14645084681719797,0.5754641369927126
MED,S6_Full,1:3,23792,34,0.7649885786996582,0.3158308751229105,0.3498910675381264,0.2878136200716846,0.11577206998293565,0.5853254972689591
