Bolge,Strateji,Oran,Feature_Set,Train_Pos,Train_Neg,Actual_Ratio,Val_F1,Val_Threshold,Test_AUC,Test_PRAUC,Test_F1,Test_Precision,Test_Recall,Brier_Raw,Brier_Platt,Platt_OK,N_Trees
MED,S1_Tip1,1,Set_A,5948,5948,1.0,0.2756,0.89,0.7263,0.2192,0.2982,0.1893,0.7028,0.482605,0.090685,True,148
MED,S1_Tip1,2,Set_A,5948,9928,1.7,0.2752,0.88,0.7276,0.2229,0.3066,0.2015,0.6405,0.426732,0.090461,True,190
MED,S1_Tip1,3,Set_A,5948,9928,1.7,0.2752,0.88,0.7276,0.2229,0.3066,0.2015,0.6405,0.426732,0.090461,True,190
MED,S1_Tip1,4,Set_A,5948,9928,1.7,0.2752,0.88,0.7276,0.2229,0.3066,0.2015,0.6405,0.426732,0.090461,True,190
MED,S1_Tip1,6,Set_A,5948,9928,1.7,0.2752,0.88,0.7276,0.2229,0.3066,0.2015,0.6405,0.426732,0.090461,True,190
MED,S2_Mixed,1,Set_A,5948,5948,1.0,0.3085,0.55,0.7415,0.229,0.3117,0.1981,0.7312,0.247239,0.088612,True,14
MED,S2_Mixed,2,Set_A,5948,11896,2.0,0.3127,0.44,0.7401,0.2319,0.3117,0.198,0.7325,0.179659,0.090073,True,96
MED,S2_Mixed,3,Set_A,5948,17844,3.0,0.2843,0.32,0.7362,0.2357,0.3028,0.1894,0.7551,0.138306,0.090018,True,68
MED,S2_Mixed,4,Set_A,5948,19680,3.3,0.3092,0.35,0.7375,0.2394,0.3173,0.2078,0.671,0.131043,0.091649,True,105
MED,S2_Mixed,6,Set_A,5948,19680,3.3,0.3092,0.35,0.7375,0.2394,0.3173,0.2078,0.671,0.131043,0.091649,True,105
MED,S3_Stratified,1,Set_A,5948,5948,1.0,0.3303,0.54,0.7245,0.2288,0.315,0.2196,0.5569,0.215086,0.090801,True,45
MED,S3_Stratified,2,Set_A,5948,11896,2.0,0.3326,0.39,0.7236,0.2384,0.3127,0.2253,0.5111,0.130976,0.091019,True,110
MED,S3_Stratified,3,Set_A,5948,17266,2.9,0.2927,0.23,0.7305,0.2361,0.288,0.18,0.7203,0.108827,0.090221,True,42
MED,S3_Stratified,4,Set_A,5948,21648,3.6,0.3206,0.22,0.7237,0.2241,0.3036,0.2012,0.6183,0.101309,0.090793,True,9
MED,S3_Stratified,6,Set_A,5948,27596,4.6,0.3372,0.21,0.7389,0.2503,0.3131,0.212,0.5987,0.094446,0.090118,True,49
CON,S1_Tip1,1,Set_A,5457,5457,1.0,0.1773,0.9,0.6431,0.1415,0.2295,0.1404,0.6296,0.484512,0.08973,True,32
CON,S1_Tip1,2,Set_A,5457,10560,1.9,0.1743,0.54,0.6425,0.1415,0.2301,0.1324,0.875,0.437564,0.089852,True,34
CON,S1_Tip1,3,Set_A,5457,10560,1.9,0.1743,0.54,0.6425,0.1415,0.2301,0.1324,0.875,0.437564,0.089852,True,34
CON,S1_Tip1,4,Set_A,5457,10560,1.9,0.1743,0.54,0.6425,0.1415,0.2301,0.1324,0.875,0.437564,0.089852,True,34
